,date,county,state,fips,cases,deaths
101092,2020-04-30,Unknown,Arkansas,,168,0
101205,2020-04-30,Unknown,Colorado,,81,1
101216,2020-04-30,Unknown,Connecticut,,462,2
101221,2020-04-30,Unknown,Delaware,,25,0
101286,2020-04-30,Unknown,Florida,,7,0
101433,2020-04-30,Unknown,Georgia,,395,0
101449,2020-04-30,Unknown,Guam,,1115,6
101572,2020-04-30,Unknown,Illinois,,378,0
101752,2020-04-30,Unknown,Iowa,,24,0
101948,2020-04-30,Unknown,Kentucky,,31,0
102011,2020-04-30,Unknown,Louisiana,,61,0
102033,2020-04-30,Unknown,Maine,,1,0
102058,2020-04-30,Unknown,Maryland,,10,75
102075,2020-04-30,Unknown,Massachusetts,,415,5
102152,2020-04-30,Unknown,Michigan,,1542,44
102227,2020-04-30,Unknown,Minnesota,,9,0
102363,2020-04-30,Kansas City,Missouri,,545,16
102517,2020-04-30,Unknown,Nevada,,0,6
102530,2020-04-30,Unknown,New Hampshire,,3,0
102551,2020-04-30,Unknown,New Jersey,,478,0
102611,2020-04-30,New York City,New York,,172784,17809
102774,2020-04-30,Unknown,Northern Mariana Islands,,14,2
103032,2020-04-30,Unknown,Puerto Rico,,1537,92
103037,2020-04-30,Unknown,Rhode Island,,1087,119
103453,2020-04-30,Unknown,Utah,,11,2
103469,2020-04-30,Unknown,Vermont,,3,0
103473,2020-04-30,Unknown,Virgin Islands,,66,4
103592,2020-04-30,Unknown,Virginia,,2,0
103943,2020-05-01,Unknown,Arkansas,,160,0
104056,2020-05-01,Unknown,Colorado,,94,0
104067,2020-05-01,Unknown,Connecticut,,371,2
104072,2020-05-01,Unknown,Delaware,,24,0
104137,2020-05-01,Unknown,Florida,,8,0
104284,2020-05-01,Unknown,Georgia,,647,0
104300,2020-05-01,Unknown,Guam,,1115,6
104424,2020-05-01,Unknown,Illinois,,363,0
104607,2020-05-01,Unknown,Iowa,,63,0
104805,2020-05-01,Unknown,Kentucky,,38,0
104868,2020-05-01,Unknown,Louisiana,,63,0
104914,2020-05-01,Unknown,Maryland,,9,100
104931,2020-05-01,Unknown,Massachusetts,,425,6
105008,2020-05-01,Unknown,Michigan,,1666,45
105084,2020-05-01,Unknown,Minnesota,,13,1
105220,2020-05-01,Kansas City,Missouri,,578,16
105359,2020-05-01,Unknown,Nebraska,,26,1
105375,2020-05-01,Unknown,Nevada,,0,10
105388,2020-05-01,Unknown,New Hampshire,,15,0
105409,2020-05-01,Unknown,New Jersey,,583,0
105469,2020-05-01,New York City,New York,,174931,17931
105633,2020-05-01,Unknown,Northern Mariana Islands,,14,2
105891,2020-05-01,Unknown,Puerto Rico,,1573,94
105896,2020-05-01,Unknown,Rhode Island,,1104,132
106313,2020-05-01,Unknown,Utah,,0,1
106329,2020-05-01,Unknown,Vermont,,3,0
106333,2020-05-01,Unknown,Virgin Islands,,66,4
106452,2020-05-01,Unknown,Virginia,,2,0
106804,2020-05-02,Unknown,Arkansas,,178,0
106917,2020-05-02,Unknown,Colorado,,119,0
106928,2020-05-02,Unknown,Connecticut,,371,2
106933,2020-05-02,Unknown,Delaware,,22,0
106998,2020-05-02,Unknown,Florida,,9,0
107145,2020-05-02,Unknown,Georgia,,652,0
107161,2020-05-02,Unknown,Guam,,1117,6
107285,2020-05-02,Unknown,Illinois,,278,0
107468,2020-05-02,Unknown,Iowa,,95,0
107728,2020-05-02,Unknown,Louisiana,,63,0
107774,2020-05-02,Unknown,Maryland,,8,72
107791,2020-05-02,Unknown,Massachusetts,,377,5
107868,2020-05-02,Unknown,Michigan,,1934,44
107945,2020-05-02,Unknown,Minnesota,,14,1
108081,2020-05-02,Kansas City,Missouri,,597,16
108128,2020-05-02,Unknown,Missouri,,3,0
108237,2020-05-02,Unknown,Nevada,,0,4
108250,2020-05-02,Unknown,New Hampshire,,26,0
108271,2020-05-02,Unknown,New Jersey,,676,0
108302,2020-05-02,Unknown,New Mexico,,0,1
108332,2020-05-02,New York City,New York,,177490,18021
108496,2020-05-02,Unknown,Northern Mariana Islands,,14,2
108754,2020-05-02,Unknown,Puerto Rico,,1755,95
108759,2020-05-02,Unknown,Rhode Island,,1142,149
109178,2020-05-02,Unknown,Utah,,0,2
109194,2020-05-02,Unknown,Vermont,,3,0
109198,2020-05-02,Unknown,Virgin Islands,,66,4
109317,2020-05-02,Unknown,Virginia,,2,0
109669,2020-05-03,Unknown,Arkansas,,174,0
109782,2020-05-03,Unknown,Colorado,,134,0
109793,2020-05-03,Unknown,Connecticut,,312,1
109798,2020-05-03,Unknown,Delaware,,23,0
109863,2020-05-03,Unknown,Florida,,12,0
110011,2020-05-03,Unknown,Georgia,,694,0
110027,2020-05-03,Unknown,Guam,,1118,6
110151,2020-05-03,Unknown,Illinois,,257,0
110335,2020-05-03,Unknown,Iowa,,124,0
110595,2020-05-03,Unknown,Louisiana,,63,0
110641,2020-05-03,Unknown,Maryland,,10,56
110658,2020-05-03,Unknown,Massachusetts,,981,7
110735,2020-05-03,Unknown,Michigan,,1949,44
110812,2020-05-03,Unknown,Minnesota,,17,1
110948,2020-05-03,Kansas City,Missouri,,609,16
111106,2020-05-03,Unknown,Nevada,,0,5
111119,2020-05-03,Unknown,New Hampshire,,19,0
111140,2020-05-03,Unknown,New Jersey,,641,0
111171,2020-05-03,Unknown,New Mexico,,0,1
111201,2020-05-03,New York City,New York,,179728,18451
111366,2020-05-03,Unknown,Northern Mariana Islands,,14,2
111624,2020-05-03,Unknown,Puerto Rico,,1806,97
111629,2020-05-03,Unknown,Rhode Island,,1086,1
112048,2020-05-03,Unknown,Utah,,8,2
112064,2020-05-03,Unknown,Vermont,,4,0
112068,2020-05-03,Unknown,Virgin Islands,,66,4
112187,2020-05-03,Unknown,Virginia,,2,0
112540,2020-05-04,Unknown,Arkansas,,163,0
112653,2020-05-04,Unknown,Colorado,,130,0
112664,2020-05-04,Unknown,Connecticut,,363,3
112669,2020-05-04,Unknown,Delaware,,24,0
112734,2020-05-04,Unknown,Florida,,12,0
112882,2020-05-04,Unknown,Georgia,,703,3
112898,2020-05-04,Unknown,Guam,,1118,6
113022,2020-05-04,Unknown,Illinois,,277,0
113206,2020-05-04,Unknown,Iowa,,95,0
113468,2020-05-04,Unknown,Louisiana,,63,0
113490,2020-05-04,Unknown,Maine,,2,0
113515,2020-05-04,Unknown,Maryland,,10,65
113532,2020-05-04,Unknown,Massachusetts,,662,7
113609,2020-05-04,Unknown,Michigan,,1976,48
113686,2020-05-04,Unknown,Minnesota,,16,1
113822,2020-05-04,Kansas City,Missouri,,659,16
113966,2020-05-04,Unknown,Nebraska,,0,1
113982,2020-05-04,Unknown,Nevada,,0,2
113995,2020-05-04,Unknown,New Hampshire,,15,0
114016,2020-05-04,Unknown,New Jersey,,647,0
114047,2020-05-04,Unknown,New Mexico,,0,6
114077,2020-05-04,New York City,New York,,181034,18580
114242,2020-05-04,Unknown,Northern Mariana Islands,,14,2
114501,2020-05-04,Unknown,Puerto Rico,,1875,97
114506,2020-05-04,Unknown,Rhode Island,,1133,22
114926,2020-05-04,Unknown,Utah,,0,2
114942,2020-05-04,Unknown,Vermont,,4,0
114946,2020-05-04,Unknown,Virgin Islands,,66,4
115065,2020-05-04,Unknown,Virginia,,2,0
115418,2020-05-05,Unknown,Arkansas,,163,0
115531,2020-05-05,Unknown,Colorado,,81,1
115542,2020-05-05,Unknown,Connecticut,,368,2
115547,2020-05-05,Unknown,Delaware,,25,0
115612,2020-05-05,Unknown,Florida,,14,0
115760,2020-05-05,Unknown,Georgia,,617,0
115776,2020-05-05,Unknown,Guam,,1118,6
115900,2020-05-05,Unknown,Illinois,,236,0
116283,2020-05-05,Unknown,Kentucky,,21,0
116346,2020-05-05,Unknown,Louisiana,,63,0
116392,2020-05-05,Unknown,Maryland,,7,78
116409,2020-05-05,Unknown,Massachusetts,,594,7
116486,2020-05-05,Unknown,Michigan,,2009,51
116564,2020-05-05,Unknown,Minnesota,,20,1
116700,2020-05-05,Kansas City,Missouri,,683,16
116859,2020-05-05,Unknown,Nevada,,0,8
116872,2020-05-05,Unknown,New Hampshire,,15,0
116893,2020-05-05,Unknown,New Jersey,,550,0
116953,2020-05-05,New York City,New York,,182318,18719
117119,2020-05-05,Unknown,Northern Mariana Islands,,14,2
117378,2020-05-05,Unknown,Puerto Rico,,1924,99
117383,2020-05-05,Unknown,Rhode Island,,1414,36
117806,2020-05-05,Unknown,Utah,,0,3
117822,2020-05-05,Unknown,Vermont,,4,0
117826,2020-05-05,Unknown,Virgin Islands,,66,4
117945,2020-05-05,Unknown,Virginia,,2,0
118298,2020-05-06,Unknown,Arkansas,,145,0
118412,2020-05-06,Unknown,Colorado,,54,1
118423,2020-05-06,Unknown,Connecticut,,305,2
118428,2020-05-06,Unknown,Delaware,,36,0
118493,2020-05-06,Unknown,Florida,,31,0
118641,2020-05-06,Unknown,Georgia,,529,0
118657,2020-05-06,Unknown,Guam,,1118,6
118781,2020-05-06,Unknown,Illinois,,105,0
118965,2020-05-06,Unknown,Iowa,,13,0
119165,2020-05-06,Unknown,Kentucky,,0,1
119228,2020-05-06,Unknown,Louisiana,,63,1
119274,2020-05-06,Unknown,Maryland,,6,78
119291,2020-05-06,Unknown,Massachusetts,,326,3
119368,2020-05-06,Unknown,Michigan,,2041,50
119446,2020-05-06,Unknown,Minnesota,,9,0
119582,2020-05-06,Kansas City,Missouri,,706,16
119742,2020-05-06,Unknown,Nevada,,0,5
119755,2020-05-06,Unknown,New Hampshire,,20,0
119776,2020-05-06,Unknown,New Jersey,,594,0
119836,2020-05-06,New York City,New York,,183770,18993
119860,2020-05-06,Unknown,New York,,0,236
120003,2020-05-06,Unknown,Northern Mariana Islands,,15,2
120263,2020-05-06,Unknown,Puerto Rico,,1968,99
120268,2020-05-06,Unknown,Rhode Island,,1686,51
120693,2020-05-06,Unknown,Utah,,0,3
120709,2020-05-06,Unknown,Vermont,,4,0
120713,2020-05-06,Unknown,Virgin Islands,,66,4
120832,2020-05-06,Unknown,Virginia,,2,0
121188,2020-05-07,Unknown,Arkansas,,153,0
121245,2020-05-07,Unknown,California,,2,0
121305,2020-05-07,Unknown,Colorado,,46,1
121316,2020-05-07,Unknown,Connecticut,,285,2
121321,2020-05-07,Unknown,Delaware,,30,0
121386,2020-05-07,Unknown,Florida,,33,0
121535,2020-05-07,Unknown,Georgia,,852,0
121551,2020-05-07,Unknown,Guam,,1118,6
121675,2020-05-07,Unknown,Illinois,,102,0
121859,2020-05-07,Unknown,Iowa,,8,0
122060,2020-05-07,Unknown,Kentucky,,3,1
122123,2020-05-07,Unknown,Louisiana,,63,1
122145,2020-05-07,Unknown,Maine,,2,0
122170,2020-05-07,Unknown,Maryland,,8,95
122187,2020-05-07,Unknown,Massachusetts,,328,3
122264,2020-05-07,Unknown,Michigan,,2172,53
122343,2020-05-07,Unknown,Minnesota,,18,0
122479,2020-05-07,Kansas City,Missouri,,723,16
122624,2020-05-07,Unknown,Nebraska,,37,2
122640,2020-05-07,Unknown,Nevada,,0,4
122653,2020-05-07,Unknown,New Hampshire,,21,0
122674,2020-05-07,Unknown,New Jersey,,552,0
122734,2020-05-07,New York City,New York,,185653,19141
122902,2020-05-07,Unknown,Northern Mariana Islands,,15,2
123162,2020-05-07,Unknown,Puerto Rico,,2031,102
123167,2020-05-07,Unknown,Rhode Island,,2011,69
123348,2020-05-07,Unknown,Tennessee,,77,0
123595,2020-05-07,Unknown,Utah,,1,3
123611,2020-05-07,Unknown,Vermont,,4,0
123615,2020-05-07,Unknown,Virgin Islands,,66,4
123734,2020-05-07,Unknown,Virginia,,2,0
124090,2020-05-08,Unknown,Arkansas,,154,0
124147,2020-05-08,Unknown,California,,2,0
124207,2020-05-08,Unknown,Colorado,,32,1
124218,2020-05-08,Unknown,Connecticut,,302,3
124223,2020-05-08,Unknown,Delaware,,28,0
124288,2020-05-08,Unknown,Florida,,33,0
124437,2020-05-08,Unknown,Georgia,,853,0
124453,2020-05-08,Unknown,Guam,,1120,6
124578,2020-05-08,Unknown,Illinois,,48,0
124764,2020-05-08,Unknown,Iowa,,17,0
125027,2020-05-08,Unknown,Louisiana,,63,1
125049,2020-05-08,Unknown,Maine,,6,0
125074,2020-05-08,Unknown,Maryland,,10,99
125091,2020-05-08,Unknown,Massachusetts,,297,3
125168,2020-05-08,Unknown,Michigan,,2304,53
125247,2020-05-08,Unknown,Minnesota,,30,0
125383,2020-05-08,Kansas City,Missouri,,739,16
125528,2020-05-08,Unknown,Nebraska,,3,0
125545,2020-05-08,Unknown,Nevada,,0,3
125558,2020-05-08,Unknown,New Hampshire,,28,0
125579,2020-05-08,Unknown,New Jersey,,553,1
125639,2020-05-08,New York City,New York,,187157,19210
125807,2020-05-08,Unknown,Northern Mariana Islands,,15,2
126067,2020-05-08,Unknown,Puerto Rico,,2156,107
126072,2020-05-08,Unknown,Rhode Island,,2260,80
126253,2020-05-08,Unknown,Tennessee,,71,0
126502,2020-05-08,Unknown,Utah,,2,3
126518,2020-05-08,Unknown,Vermont,,4,0
126522,2020-05-08,Unknown,Virgin Islands,,68,4
126641,2020-05-08,Unknown,Virginia,,2,0
126997,2020-05-09,Unknown,Arkansas,,154,0
127054,2020-05-09,Unknown,California,,2,0
127114,2020-05-09,Unknown,Colorado,,71,1
127125,2020-05-09,Unknown,Connecticut,,246,3
127130,2020-05-09,Unknown,Delaware,,27,0
127195,2020-05-09,Unknown,Florida,,49,0
127344,2020-05-09,Unknown,Georgia,,750,0
127360,2020-05-09,Unknown,Guam,,1120,6
127485,2020-05-09,Unknown,Illinois,,73,0
127671,2020-05-09,Unknown,Iowa,,3,0
127935,2020-05-09,Unknown,Louisiana,,64,1
127957,2020-05-09,Unknown,Maine,,1,0
127982,2020-05-09,Unknown,Maryland,,7,101
127999,2020-05-09,Unknown,Massachusetts,,288,3
128076,2020-05-09,Unknown,Michigan,,2258,53
128155,2020-05-09,Unknown,Minnesota,,16,0
128291,2020-05-09,Kansas City,Missouri,,752,16
128438,2020-05-09,Unknown,Nebraska,,21,2
128455,2020-05-09,Unknown,Nevada,,0,5
128468,2020-05-09,Unknown,New Hampshire,,32,0
128489,2020-05-09,Unknown,New Jersey,,557,0
128549,2020-05-09,New York City,New York,,188663,19324
128717,2020-05-09,Unknown,Northern Mariana Islands,,16,2
128977,2020-05-09,Unknown,Puerto Rico,,2173,108
128982,2020-05-09,Unknown,Rhode Island,,2470,99
129163,2020-05-09,Unknown,Tennessee,,71,0
129412,2020-05-09,Unknown,Utah,,17,2
129428,2020-05-09,Unknown,Vermont,,4,0
129432,2020-05-09,Unknown,Virgin Islands,,69,4
129552,2020-05-09,Unknown,Virginia,,2,0
129908,2020-05-10,Unknown,Arkansas,,127,0
130026,2020-05-10,Unknown,Colorado,,114,1
130037,2020-05-10,Unknown,Connecticut,,300,3
130042,2020-05-10,Unknown,Delaware,,41,0
130107,2020-05-10,Unknown,Florida,,50,0
130256,2020-05-10,Unknown,Georgia,,1004,2
130272,2020-05-10,Unknown,Guam,,1120,6
130397,2020-05-10,Unknown,Illinois,,84,0
130846,2020-05-10,Unknown,Louisiana,,64,1
130868,2020-05-10,Unknown,Maine,,3,0
130893,2020-05-10,Unknown,Maryland,,8,91
130910,2020-05-10,Unknown,Massachusetts,,303,5
130987,2020-05-10,Unknown,Michigan,,2265,55
131066,2020-05-10,Unknown,Minnesota,,17,0
131202,2020-05-10,Kansas City,Missouri,,767,16
131349,2020-05-10,Unknown,Nebraska,,0,2
131378,2020-05-10,Unknown,New Hampshire,,28,0
131399,2020-05-10,Unknown,New Jersey,,591,0
131459,2020-05-10,New York City,New York,,189656,19436
131627,2020-05-10,Unknown,Northern Mariana Islands,,16,2
131887,2020-05-10,Unknown,Puerto Rico,,2198,111
131892,2020-05-10,Unknown,Rhode Island,,2755,103
132074,2020-05-10,Unknown,Tennessee,,75,0
132323,2020-05-10,Unknown,Utah,,11,3
132339,2020-05-10,Unknown,Vermont,,4,0
132343,2020-05-10,Unknown,Virgin Islands,,69,4
132463,2020-05-10,Unknown,Virginia,,2,0
132819,2020-05-11,Unknown,Arkansas,,131,0
132937,2020-05-11,Unknown,Colorado,,67,2
132948,2020-05-11,Unknown,Connecticut,,273,3
132953,2020-05-11,Unknown,Delaware,,40,0
133018,2020-05-11,Unknown,Florida,,50,0
133167,2020-05-11,Unknown,Georgia,,914,2
133183,2020-05-11,Unknown,Guam,,1120,6
133493,2020-05-11,Unknown,Iowa,,5,0
133757,2020-05-11,Unknown,Louisiana,,64,2
133779,2020-05-11,Unknown,Maine,,6,0
133804,2020-05-11,Unknown,Maryland,,10,106
133821,2020-05-11,Unknown,Massachusetts,,287,5
133898,2020-05-11,Unknown,Michigan,,2263,58
133977,2020-05-11,Unknown,Minnesota,,25,0
134113,2020-05-11,Kansas City,Missouri,,783,16
134276,2020-05-11,Unknown,Nevada,,8,6
134289,2020-05-11,Unknown,New Hampshire,,31,0
134310,2020-05-11,Unknown,New Jersey,,729,0
134370,2020-05-11,New York City,New York,,190546,19563
134538,2020-05-11,Unknown,Northern Mariana Islands,,19,2
134798,2020-05-11,Unknown,Puerto Rico,,2256,113
134803,2020-05-11,Unknown,Rhode Island,,1158,5
134985,2020-05-11,Unknown,Tennessee,,78,0
135249,2020-05-11,Unknown,Vermont,,4,0
135253,2020-05-11,Unknown,Virgin Islands,,69,5
135373,2020-05-11,Unknown,Virginia,,2,0
135729,2020-05-12,Unknown,Arkansas,,137,0
135847,2020-05-12,Unknown,Colorado,,47,2
135858,2020-05-12,Unknown,Connecticut,,263,3
135863,2020-05-12,Unknown,Delaware,,36,1
135928,2020-05-12,Unknown,Florida,,57,0
136077,2020-05-12,Unknown,Georgia,,1135,0
136093,2020-05-12,Unknown,Guam,,1121,6
136404,2020-05-12,Unknown,Iowa,,6,0
136668,2020-05-12,Unknown,Louisiana,,64,1
136690,2020-05-12,Unknown,Maine,,6,0
136715,2020-05-12,Unknown,Maryland,,12,109
136732,2020-05-12,Unknown,Massachusetts,,273,4
136809,2020-05-12,Unknown,Michigan,,2266,60
136888,2020-05-12,Unknown,Minnesota,,30,0
137024,2020-05-12,Kansas City,Missouri,,791,16
137187,2020-05-12,Unknown,Nevada,,34,7
137200,2020-05-12,Unknown,New Hampshire,,26,0
137221,2020-05-12,Unknown,New Jersey,,704,0
137281,2020-05-12,New York City,New York,,191320,19736
137449,2020-05-12,Unknown,Northern Mariana Islands,,19,2
137709,2020-05-12,Unknown,Puerto Rico,,2299,114
137714,2020-05-12,Unknown,Rhode Island,,1198,19
137896,2020-05-12,Unknown,Tennessee,,80,0
138145,2020-05-12,Unknown,Utah,,0,2
138161,2020-05-12,Unknown,Vermont,,4,0
138165,2020-05-12,Unknown,Virgin Islands,,69,6
138285,2020-05-12,Unknown,Virginia,,2,0
138641,2020-05-13,Unknown,Arkansas,,140,0
138759,2020-05-13,Unknown,Colorado,,52,2
138770,2020-05-13,Unknown,Connecticut,,250,5
138775,2020-05-13,Unknown,Delaware,,36,1
138840,2020-05-13,Unknown,Florida,,88,0
138989,2020-05-13,Unknown,Georgia,,1284,0
139005,2020-05-13,Unknown,Guam,,1121,6
139318,2020-05-13,Unknown,Iowa,,5,0
139520,2020-05-13,Unknown,Kentucky,,66,0
139583,2020-05-13,Unknown,Louisiana,,64,0
139605,2020-05-13,Unknown,Maine,,6,0
139630,2020-05-13,Unknown,Maryland,,11,92
139647,2020-05-13,Unknown,Massachusetts,,264,4
139724,2020-05-13,Unknown,Michigan,,2269,61
139803,2020-05-13,Unknown,Minnesota,,453,24
139939,2020-05-13,Kansas City,Missouri,,808,16
140087,2020-05-13,Unknown,Nebraska,,42,3
140104,2020-05-13,Unknown,Nevada,,0,6
140117,2020-05-13,Unknown,New Hampshire,,26,0
140138,2020-05-13,Unknown,New Jersey,,662,0
140198,2020-05-13,New York City,New York,,192394,19815
140366,2020-05-13,Unknown,Northern Mariana Islands,,19,2
140555,2020-05-13,Unknown,Oregon,,52,0
140627,2020-05-13,Unknown,Puerto Rico,,2329,115
140632,2020-05-13,Unknown,Rhode Island,,1046,37
140814,2020-05-13,Unknown,Tennessee,,81,0
141063,2020-05-13,Unknown,Utah,,0,3
141079,2020-05-13,Unknown,Vermont,,4,0
141083,2020-05-13,Unknown,Virgin Islands,,69,6
141203,2020-05-13,Unknown,Virginia,,2,0
141559,2020-05-14,Unknown,Arkansas,,135,0
141677,2020-05-14,Unknown,Colorado,,46,0
141688,2020-05-14,Unknown,Connecticut,,235,3
141693,2020-05-14,Unknown,Delaware,,45,1
141758,2020-05-14,Unknown,Florida,,76,0
141907,2020-05-14,Unknown,Georgia,,1363,0
141923,2020-05-14,Unknown,Guam,,1121,6
142236,2020-05-14,Unknown,Iowa,,8,0
142500,2020-05-14,Unknown,Louisiana,,65,0
142522,2020-05-14,Unknown,Maine,,2,0
142547,2020-05-14,Unknown,Maryland,,9,95
142564,2020-05-14,Unknown,Massachusetts,,300,3
142641,2020-05-14,Unknown,Michigan,,2321,60
142720,2020-05-14,Unknown,Minnesota,,21,9
142856,2020-05-14,Kansas City,Missouri,,838,17
143004,2020-05-14,Unknown,Nebraska,,79,0
143021,2020-05-14,Unknown,Nevada,,0,5
143034,2020-05-14,Unknown,New Hampshire,,34,0
143055,2020-05-14,Unknown,New Jersey,,802,0
143115,2020-05-14,New York City,New York,,193663,19904
143283,2020-05-14,Unknown,Northern Mariana Islands,,19,2
143473,2020-05-14,Unknown,Oregon,,121,0
143545,2020-05-14,Unknown,Puerto Rico,,2427,117
143550,2020-05-14,Unknown,Rhode Island,,1227,43
143733,2020-05-14,Unknown,Tennessee,,85,0
143982,2020-05-14,Unknown,Utah,,0,3
143998,2020-05-14,Unknown,Vermont,,4,0
144002,2020-05-14,Unknown,Virgin Islands,,69,6
144122,2020-05-14,Unknown,Virginia,,3,0
144480,2020-05-15,Unknown,Arkansas,,139,0
144598,2020-05-15,Unknown,Colorado,,36,0
144609,2020-05-15,Unknown,Connecticut,,238,3
144614,2020-05-15,Unknown,Delaware,,43,1
144679,2020-05-15,Unknown,Florida,,78,0
144828,2020-05-15,Unknown,Georgia,,1644,0
144844,2020-05-15,Unknown,Guam,,1123,6
145157,2020-05-15,Unknown,Iowa,,10,0
145422,2020-05-15,Unknown,Louisiana,,65,0
145444,2020-05-15,Unknown,Maine,,2,0
145469,2020-05-15,Unknown,Maryland,,10,91
145486,2020-05-15,Unknown,Massachusetts,,285,2
145563,2020-05-15,Unknown,Michigan,,2357,60
145642,2020-05-15,Unknown,Minnesota,,34,9
145779,2020-05-15,Kansas City,Missouri,,848,18
145927,2020-05-15,Unknown,Nebraska,,61,0
145944,2020-05-15,Unknown,Nevada,,0,1
145957,2020-05-15,Unknown,New Hampshire,,56,0
145978,2020-05-15,Unknown,New Jersey,,885,0
146038,2020-05-15,New York City,New York,,195472,19972
146206,2020-05-15,Unknown,Northern Mariana Islands,,19,2
146467,2020-05-15,Unknown,Puerto Rico,,2542,122
146472,2020-05-15,Unknown,Rhode Island,,1430,54
146655,2020-05-15,Unknown,Tennessee,,85,0
146922,2020-05-15,Unknown,Vermont,,4,0
146926,2020-05-15,Unknown,Virgin Islands,,69,6
147046,2020-05-15,Unknown,Virginia,,3,0
147405,2020-05-16,Unknown,Arkansas,,131,0
147523,2020-05-16,Unknown,Colorado,,48,0
147534,2020-05-16,Unknown,Connecticut,,257,2
147539,2020-05-16,Unknown,Delaware,,46,1
147604,2020-05-16,Unknown,Florida,,79,0
147753,2020-05-16,Unknown,Georgia,,1787,0
147769,2020-05-16,Unknown,Guam,,1123,6
148083,2020-05-16,Unknown,Iowa,,15,0
148349,2020-05-16,Unknown,Louisiana,,72,0
148371,2020-05-16,Unknown,Maine,,2,0
148396,2020-05-16,Unknown,Maryland,,7,89
148413,2020-05-16,Unknown,Massachusetts,,309,3
148490,2020-05-16,Unknown,Michigan,,2336,59
148569,2020-05-16,Unknown,Minnesota,,37,9
148706,2020-05-16,Kansas City,Missouri,,863,18
148856,2020-05-16,Unknown,Nebraska,,74,0
148873,2020-05-16,Unknown,Nevada,,0,3
148886,2020-05-16,Unknown,New Hampshire,,10,0
148907,2020-05-16,Unknown,New Jersey,,996,0
148967,2020-05-16,New York City,New York,,196481,20071
149135,2020-05-16,Unknown,Northern Mariana Islands,,21,2
149396,2020-05-16,Unknown,Puerto Rico,,2589,122
149401,2020-05-16,Unknown,Rhode Island,,1645,64
149584,2020-05-16,Unknown,Tennessee,,86,0
149836,2020-05-16,Unknown,Utah,,1,1
149852,2020-05-16,Unknown,Vermont,,4,0
149856,2020-05-16,Unknown,Virgin Islands,,69,6
149976,2020-05-16,Unknown,Virginia,,4,0
150335,2020-05-17,Unknown,Arkansas,,132,0
150453,2020-05-17,Unknown,Colorado,,54,0
150464,2020-05-17,Unknown,Connecticut,,210,1
150469,2020-05-17,Unknown,Delaware,,52,1
150534,2020-05-17,Unknown,Florida,,79,0
150683,2020-05-17,Unknown,Georgia,,2035,0
150699,2020-05-17,Unknown,Guam,,1123,6
151015,2020-05-17,Unknown,Iowa,,8,0
151281,2020-05-17,Unknown,Louisiana,,72,0
151303,2020-05-17,Unknown,Maine,,2,0
151328,2020-05-17,Unknown,Maryland,,7,81
151345,2020-05-17,Unknown,Massachusetts,,315,3
151422,2020-05-17,Unknown,Michigan,,2658,60
151501,2020-05-17,Unknown,Minnesota,,29,9
151638,2020-05-17,Kansas City,Missouri,,895,19
151788,2020-05-17,Unknown,Nebraska,,35,0
151817,2020-05-17,Unknown,New Hampshire,,10,0
151838,2020-05-17,Unknown,New Jersey,,949,0
151898,2020-05-17,New York City,New York,,197486,20214
152067,2020-05-17,Unknown,Northern Mariana Islands,,21,2
152328,2020-05-17,Unknown,Puerto Rico,,2646,123
152333,2020-05-17,Unknown,Rhode Island,,1885,74
152516,2020-05-17,Unknown,Tennessee,,104,0
152768,2020-05-17,Unknown,Utah,,8,2
152784,2020-05-17,Unknown,Vermont,,5,0
152788,2020-05-17,Unknown,Virgin Islands,,69,6
152908,2020-05-17,Unknown,Virginia,,5,0
153267,2020-05-18,Unknown,Arkansas,,130,0
153385,2020-05-18,Unknown,Colorado,,50,0
153396,2020-05-18,Unknown,Connecticut,,233,2
153401,2020-05-18,Unknown,Delaware,,51,1
153466,2020-05-18,Unknown,Florida,,79,0
153615,2020-05-18,Unknown,Georgia,,2216,0
153631,2020-05-18,Unknown,Guam,,1123,6
153947,2020-05-18,Unknown,Iowa,,9,0
154214,2020-05-18,Unknown,Louisiana,,72,0
154236,2020-05-18,Unknown,Maine,,1,0
154261,2020-05-18,Unknown,Maryland,,10,86
154278,2020-05-18,Unknown,Massachusetts,,312,3
154355,2020-05-18,Unknown,Michigan,,3171,60
154434,2020-05-18,Unknown,Minnesota,,37,9
154571,2020-05-18,Kansas City,Missouri,,901,20
154721,2020-05-18,Unknown,Nebraska,,5,0
154739,2020-05-18,Unknown,Nevada,,0,12
154752,2020-05-18,Unknown,New Hampshire,,32,0
154773,2020-05-18,Unknown,New Jersey,,835,0
154834,2020-05-18,New York City,New York,,198114,20298
155003,2020-05-18,Unknown,Northern Mariana Islands,,21,2
155264,2020-05-18,Unknown,Puerto Rico,,2710,124
155269,2020-05-18,Unknown,Rhode Island,,2006,81
155452,2020-05-18,Unknown,Tennessee,,106,0
155704,2020-05-18,Unknown,Utah,,3,2
155720,2020-05-18,Unknown,Vermont,,5,0
155724,2020-05-18,Unknown,Virgin Islands,,69,6
155844,2020-05-18,Unknown,Virginia,,8,0
